	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL
0	本科及以上	3-5年	8-15k·12薪	2020年04月26日	数据分析	上海-龙华	北京斯雷康科技股份有限公司	https://www.liepin.com/job/1927774231.shtml	https://www.liepin.com/company/1408548/
1	本科及以上	5-10年	50-80k·12薪	2020年04月26日	产品总监		敦煌网	https://www.liepin.com/job/1927774223.shtml	https://www.liepin.com/company/7862497/
2	本科及以上	10年以上	40-60k·13薪	2020年04月26日	集团IT总监	深圳-宝安区	深圳市信维通信股份有限公司	https://www.liepin.com/job/1927773877.shtml	https://www.liepin.com/company/8042835/
3	本科及以上	3-5年	12-18k·12薪	2020年04月26日	南通城市经理	南通-崇川区	爱回收	https://www.liepin.com/job/1927773439.shtml	https://www.liepin.com/company/7868039/
4	统招本科	5-10年	面议	2020年04月26日	品牌APP运营经理	上海	上汽乘用车	https://www.liepin.com/job/1927772789.shtml	https://www.liepin.com/company/8399212/
5	本科及以上	3-5年	35-50k·13薪	2020年04月26日	Auto Finance Senior Consultant	上海	西维(上海)管理咨询有限公司	https://www.liepin.com/job/1927772605.shtml	https://www.liepin.com/company/8748580/
6	本科及以上	1-3年	4-7k·12薪	2020年04月26日	销售助理/招标助理/市场专员	无锡	上海瑶瞻医院管理有限公司	https://www.liepin.com/job/1927772115.shtml	https://www.liepin.com/company/10205193/
7	大专及以上	3-5年	7-10k·12薪	2020年04月26日	市场经理	深圳-宝安区	深圳市耀美环保有限公司	https://www.liepin.com/job/1927771863.shtml	https://www.liepin.com/company/9234847/
8	大专及以上	1-3年	9-15k·12薪	2020年04月26日	薪酬绩效主管	上海	中翔金属(上海)有限公司	https://www.liepin.com/job/1927771369.shtml	https://www.liepin.com/company/9454064/
9	统招本科	3-5年	15-25k·12薪	2020年04月26日	销售经理	上海-五里桥	北京荷月科技有限公司	https://www.liepin.com/job/1927771271.shtml	https://www.liepin.com/company/9218800/
10	统招本科	3-5年	面议	2020年04月26日	数据库工程师 DBA	上海-曲阳	MDC Telecom	https://www.liepin.com/job/1927770857.shtml	https://www.liepin.com/company/8104849/
11	本科及以上	5-10年	30-45k·16薪	2020年04月26日	大数据开发工程师	上海-浦东新区	上海基分文化传播	https://www.liepin.com/job/1927770805.shtml	https://www.liepin.com/company/8895584/
12	大专及以上	1-3年	8-13k·12薪	2020年04月26日	课程顾问	北京	北京新得科技有限公司	https://www.liepin.com/job/1927770073.shtml	https://www.liepin.com/company/9807335/
13	统招本科	1-3年	面议	2020年04月26日	网络安全工程师（网攻方向）		北京华油信通科技有限公司	https://www.liepin.com/job/1927769745.shtml	https://www.liepin.com/company/8330229/
14	大专及以上	5-10年	10-15k·12薪	2020年04月26日	审计总监	德州	泰山体育	https://www.liepin.com/job/1927769743.shtml	https://www.liepin.com/company/7958679/
15	本科及以上	3-5年	面议	2020年04月26日	海外售后技术支持经理（法语）/Overseas After Sales Technical Manager（French）	上海	爱驰汽车	https://www.liepin.com/job/1927769147.shtml	https://www.liepin.com/company/9146383/
16	本科及以上	3-5年	15-30k·14薪	2020年04月26日	资金业务产品经理	深圳-南山区	畅捷通支付北京	https://www.liepin.com/job/1927767527.shtml	https://www.liepin.com/company/8577672/
17	统招本科	1-3年	8-20k·12薪	2020年04月26日	咨询顾问	上海-青浦区	上海爱湃斯科技有限公司	https://www.liepin.com/job/1927767341.shtml	https://www.liepin.com/company/10006015/
